,period_end,dni
169,2023-04-12T14:30:00Z,0
170,2023-04-12T14:00:00Z,0
171,2023-04-12T13:30:00Z,0
172,2023-04-12T13:00:00Z,0
173,2023-04-12T12:30:00Z,0
174,2023-04-12T12:00:00Z,0
175,2023-04-12T11:30:00Z,0
176,2023-04-12T11:00:00Z,0
177,2023-04-12T10:30:00Z,0
178,2023-04-12T10:00:00Z,0
179,2023-04-12T09:30:00Z,0
180,2023-04-12T09:00:00Z,0
181,2023-04-12T08:30:00Z,0
182,2023-04-12T08:00:00Z,0
183,2023-04-12T07:30:00Z,174
184,2023-04-12T07:00:00Z,338
185,2023-04-12T06:30:00Z,163
186,2023-04-12T06:00:00Z,198
187,2023-04-12T05:30:00Z,179
188,2023-04-12T05:00:00Z,0
189,2023-04-12T04:30:00Z,57
190,2023-04-12T04:00:00Z,0
191,2023-04-12T03:30:00Z,0
192,2023-04-12T03:00:00Z,19
193,2023-04-12T02:30:00Z,0
194,2023-04-12T02:00:00Z,41
195,2023-04-12T01:30:00Z,729
196,2023-04-12T01:00:00Z,802
197,2023-04-12T00:30:00Z,833
198,2023-04-12,534
199,2023-04-11T23:30:00Z,588
200,2023-04-11T23:00:00Z,781
201,2023-04-11T22:30:00Z,591
202,2023-04-11T22:00:00Z,636
203,2023-04-11T21:30:00Z,518
204,2023-04-11T21:00:00Z,248
205,2023-04-11T20:30:00Z,2
206,2023-04-11T20:00:00Z,0
207,2023-04-11T19:30:00Z,0
208,2023-04-11T19:00:00Z,0
209,2023-04-11T18:30:00Z,0
210,2023-04-11T18:00:00Z,0
211,2023-04-11T17:30:00Z,0
212,2023-04-11T17:00:00Z,0
213,2023-04-11T16:30:00Z,0
214,2023-04-11T16:00:00Z,0
215,2023-04-11T15:30:00Z,0
216,2023-04-11T15:00:00Z,0
217,2023-04-11T14:30:00Z,0
218,2023-04-11T14:00:00Z,0
219,2023-04-11T13:30:00Z,0
220,2023-04-11T13:00:00Z,0
221,2023-04-11T12:30:00Z,0
222,2023-04-11T12:00:00Z,0
223,2023-04-11T11:30:00Z,0
224,2023-04-11T11:00:00Z,0
225,2023-04-11T10:30:00Z,0
226,2023-04-11T10:00:00Z,0
227,2023-04-11T09:30:00Z,0
228,2023-04-11T09:00:00Z,0
229,2023-04-11T08:30:00Z,0
230,2023-04-11T08:00:00Z,0
231,2023-04-11T07:30:00Z,167
232,2023-04-11T07:00:00Z,0
233,2023-04-11T06:30:00Z,0
234,2023-04-11T06:00:00Z,0
235,2023-04-11T05:30:00Z,37
236,2023-04-11T05:00:00Z,404
237,2023-04-11T04:30:00Z,791
238,2023-04-11T04:00:00Z,869
239,2023-04-11T03:30:00Z,885
240,2023-04-11T03:00:00Z,898
241,2023-04-11T02:30:00Z,475
242,2023-04-11T02:00:00Z,823
243,2023-04-11T01:30:00Z,910
244,2023-04-11T01:00:00Z,904
245,2023-04-11T00:30:00Z,891
246,2023-04-11,876
247,2023-04-10T23:30:00Z,855
248,2023-04-10T23:00:00Z,823
249,2023-04-10T22:30:00Z,773
250,2023-04-10T22:00:00Z,699
251,2023-04-10T21:30:00Z,584
252,2023-04-10T21:00:00Z,348
253,2023-04-10T20:30:00Z,8
254,2023-04-10T20:00:00Z,0
255,2023-04-10T19:30:00Z,0
256,2023-04-10T19:00:00Z,0
257,2023-04-10T18:30:00Z,0
258,2023-04-10T18:00:00Z,0
259,2023-04-10T17:30:00Z,0
260,2023-04-10T17:00:00Z,0
261,2023-04-10T16:30:00Z,0
262,2023-04-10T16:00:00Z,0
263,2023-04-10T15:30:00Z,0
264,2023-04-10T15:00:00Z,0
265,2023-04-10T14:30:00Z,0
266,2023-04-10T14:00:00Z,0
267,2023-04-10T13:30:00Z,0
268,2023-04-10T13:00:00Z,0
269,2023-04-10T12:30:00Z,0
270,2023-04-10T12:00:00Z,0
271,2023-04-10T11:30:00Z,0
272,2023-04-10T11:00:00Z,0
273,2023-04-10T10:30:00Z,0
274,2023-04-10T10:00:00Z,0
275,2023-04-10T09:30:00Z,0
276,2023-04-10T09:00:00Z,0
277,2023-04-10T08:30:00Z,0
278,2023-04-10T08:00:00Z,1
279,2023-04-10T07:30:00Z,104
280,2023-04-10T07:00:00Z,83
281,2023-04-10T06:30:00Z,159
282,2023-04-10T06:00:00Z,55
283,2023-04-10T05:30:00Z,226
284,2023-04-10T05:00:00Z,543
285,2023-04-10T04:30:00Z,409
286,2023-04-10T04:00:00Z,522
287,2023-04-10T03:30:00Z,169
288,2023-04-10T03:00:00Z,103
289,2023-04-10T02:30:00Z,449
